interval_label,anchor_strategy,model_id,formula,n_obs,r_sq,marginal_r2,aic,converged,interval_hours
10day,first_to_first,BT2,"butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(temp_at_max_count_t_1) + ti(wind_max_gust_t_1, sum_butterflies_direct_sun_t_1)",85,0.601085211965459,0.638333436229309,513.303718128953,TRUE,240
10day,last_to_last,B29c,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(wind_max_gust_t_1),85,0.703567982596435,0.738234014154437,503.179929770472,TRUE,240
10day,max_to_max,B29d,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(temp_at_max_count_t_1),85,0.626852816057278,0.650605692078164,519.933761524238,TRUE,240
10day,max_to_sunset,B29c,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(wind_max_gust_t_1),85,0.81734201522807,0.841422896663621,489.838446305729,TRUE,240
10day,mid_to_mid,B29d,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(temp_at_max_count_t_1),85,0.743762796594647,0.812034436501614,453.655913255804,TRUE,240
11day,first_to_first,B34,butterfly_diff_95th_sqrt ~ butterflies_95th_percentile_t_1 + s(temp_at_max_count_t_1) + s(wind_max_gust_t_1) + s(sum_butterflies_direct_sun_t_1),80,0.744292742658644,0.782399092296009,498.719565141812,TRUE,264
11day,last_to_last,BT2,"butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(temp_at_max_count_t_1) + ti(wind_max_gust_t_1, sum_butterflies_direct_sun_t_1)",80,0.668545496459609,0.700538236580999,487.549357711457,TRUE,264
11day,max_to_max,BT6,"butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + ti(temp_max_t_1, wind_max_gust_t_1)",80,0.750621276920723,0.791894487109168,472.104500544239,TRUE,264
11day,max_to_sunset,B29c,butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(wind_max_gust_t_1),80,0.780951382923267,0.807461734818602,462.291418837288,TRUE,264
11day,mid_to_mid,BT7,"butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + ti(temp_at_max_count_t_1, sum_butterflies_direct_sun_t_1)",80,0.764765775828722,0.837172810956825,435.356506133897,TRUE,264
120min,within_day,M24,butterfly_difference_cbrt ~ s(total_butterflies_t_lag) + s(max_gust) + s(temperature_avg) + s(butterflies_direct_sun_t_lag) + s(time_within_day_t),1612,0.191135762025074,0.205552980617805,6187.87554176931,TRUE,2
12day,first_to_first,BT6,"butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + ti(temp_max_t_1, wind_max_gust_t_1)",75,0.59056154846946,0.620363792918853,462.030827208864,TRUE,288
12day,last_to_last,BT2,"butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(temp_at_max_count_t_1) + ti(wind_max_gust_t_1, sum_butterflies_direct_sun_t_1)",75,0.725168866800749,0.763842571507335,490.952858247546,TRUE,288
12day,max_to_max,BT3,"butterfly_diff_95th_sqrt ~ s(butterflies_95th_percentile_t_1) + s(temp_max_t_1) + ti(wind_max_gust_t_1, sum_butterflies_direct_sun_t_1)",75,0.678498592404012,0.718553735606819,462.099723980781,TRUE,288
